Age,AvgWallU,AvgRoofU,AvgFloorU,AvgWindowU,TempAdj,ResponseCat,EnergyRatingCont
43,0.66,1.69,0.73,4.73,0,1,286.13
26,0.31,0.16,0.64,2.2,0.6,1,241.38
16,0.27,0.13,0.36,2.8,0.6,1,208.02
26,0.6,0.49,0.7,3.1,0.3,1,374.93
61,2.06,0.94,0.94,2.9,0.6,3,816.44
38,0.6755,0.49,0.57,3.1,0.6,1,418.97
14,0.73,0.36,0.29,1.8,0.6,1,234.25
71,0.34,0.25,0.7,3.1,0.6,1,250.45
100,0.81,0.97,0.52,2.8,0.6,1,234.87
53,1.29,0.45,0.54,2.63,0.6,1,271.34
47,0.6755,0.78,0.58,2.01,0,1,239.74
9,0.26,0.3692,0.25,1.8,0,1,114.67
15,0.55,0.3,0.44,2.68,0,1,215.22
16,0.57,0.3692,0,2.8,0,1,138.83
12,0.6755,0.3692,0,2.23,0.3,1,326.1
76,2.2,0.98,0.84,5.7,0,1,417.76
116,0.8,2.3,0.61,4.03,0,1,270.02
41,1.78,0.4,0.61,3.53,0,1,230.98
6,0.23,0.14,0.16,1.9,0,1,79.21
20,0.29,0.13,0.41,2.7,0.6,1,198.88
86,0.6755,0.16,0.94,1.7,0,1,173.43
16,0.55,0.27,0.44,2.7,0,1,230.28
63,0.25,0.93,0.73,3.13,0,1,269.61
45,1.1,1.1,0.73,4.8,0,1,356.24
9,0.37,0.25,0.26,1.77,0,1,154.09
8,0.33,0.15,0.25,1.9,0,1,134.44
27,0.44,0.4,0.5,2.42,0.6,1,177.02
116,0.37,0.14,0.33,2,0,1,115.53
44,2.4,0.13,0.84,2.7,0.6,1,334.44
36,0.6,0.29,0.48,2.2,0.6,1,209.17
19,0.55,0.13,0.42,2.8,0.6,1,254.36
56,0.59,0.3692,0.73,2.7,0.6,1,315.24
46,0.37,0.35,0.84,3.33,0.6,1,273.29
76,1.3,2.3,0.68,4.12,0.6,1,383.65
26,0.29,0.13,0.57,2,0.6,1,223.27
8,0.24,0.16,0.21,2,0,1,128.8
112,1.49,1.44,0.54,4.22,0,1,251.92
69,0.86,0.34,0.5,2.72,0.6,1,340.39
10,0.54,0.25,0.37,2.12,0,1,167.44
39,0.37,0.16,0.73,2.2,0,1,197.45
14,0.55,0.36,0.43,3.1,0.6,1,220.74
8,0.37,0.3692,0,1.61,0,1,91.41
31,0.29,0.13,0.57,2.1,0,1,211.61
14,0.55,0.22,0.41,2.7,0,1,223
10,0.34,0.25,0,2,0.3,4,267.47
43,0.29,0.13,0.61,2.3,0.6,3,265.87
11,0.37,0.26,0.34,2.2,0.6,1,233.65
38,0.27,0.13,0.4,2,0.6,1,224.89
12,0.6755,0.2,0.44,2.8,0,1,213.46
61,1.78,2.3,0.65,5.7,0.6,1,534.38
216,1.16,0.52,0.64,2.56,0,1,231.66
9,0.45,0.3692,0.31,2,0,1,139.48
37,0.29,0.26,0.48,5.7,0.6,1,185.45
29,0.6,0.24,0.64,3.42,0,1,207.2
40,0.27,0.13,0.61,3.07,0,1,195.14
13,0.27,0.13,0.41,2,0,1,206.39
37,1.1,0.22,0.64,2.9,0.6,1,305.83
47,1.16,0.3692,0,2.8,0.3,4,268.09
66,1.32,0.26,0,5.7,0,1,367.13
37,1.1,0.13,0.57,2.7,0.6,1,321.02
31,0.26,0.13,0.48,2.8,0,1,142.51
39,0.4,0.15,0.55,1.9,0,1,255.9
38,1.04,0.4,0.55,2.8,0,1,259.77
78,1.26,2.3,0.49,2.02,0.6,3,769.06
37,1.01,0.28,0.66,2.7,0,1,259.68
36,0.37,0.13,0.57,2.8,0.6,3,275.33
16,0.33,0.13,0.36,2.85,0.6,1,191.47
10,0.37,0.3692,0,3.3,0,1,157.45
12,0.6755,0.21,0.44,2.2,0.6,1,170.75
14,0.55,0.36,0.36,2.8,0.6,1,197.78
22,0.31,0.13,0.49,3.1,0,1,188.28
61,1.9,0.42,0.57,2.2,0,1,317.12
28,0.6,0.49,0.48,3.45,0.3,1,336.22
8,0.35,0.3692,0,2.6,0,1,92.82
0,0.15,0.11,0.12,1.3,0,1,52.56
111,2.1,0.3692,0.54,4.8,0.6,1,319.51
67,0.28,0.41,0.9,2.2,0.3,5,422.48
28,0.6,0.3,0.48,2.7,0,1,201.63
36,0.24,0.13,0.55,2.8,0,1,139.49
10,0.33,0.11,0,1.8,0,2,200.54
26,0.6,0.4,0.48,2.7,0.6,1,233.56
17,0.6755,0.13,0.41,2.8,0.6,1,202.22
8,0.23,0.16,0.22,2.3,0,4,138.13
19,0.58,0.3692,0,2.8,0.3,5,239.32
17,0.54,0.35,0,3.1,0,4,368.08
14,0.6755,0.3692,0.29,2.7,0,1,212.98
39,1.55,0.28,0.64,2.2,0.6,1,364.14
76,0.27,0.18,0.5,2.7,0,1,220.43
18,0.25,0.35,0.42,2.7,0,1,212.88
8,0.6755,0.3692,0.25,1.8,0,1,109.04
11,0.36,0.3692,0.31,2.41,0,1,254.67
35,1.1,0.49,0.57,2.7,0,1,160.85
13,0.55,0.27,0.44,2,0,1,228.07
25,0.26,0.13,0.48,2.7,0.6,1,267.12
34,0.29,0.13,0.57,3.19,0,1,246.93
15,0.55,0.35,0.44,2.7,0.6,3,204.28
17,0.62,0.3692,0.36,3.17,0.3,4,327.15
30,0.6,0.4,0.64,3.28,0.6,1,230.14
16,0.27,0.2,0.41,1.9,0.6,1,171.14
9,0.37,0.36,0.37,2.3,0,1,175.65
14,0.5,0.28,0,2.78,0.6,1,199.18
116,0.27,0.16,0.62,3.1,0.6,1,219.61
13,0.6755,0.4,0.41,2.6,0.6,1,175.49
8,0.4,0.3692,0,1.8,0,1,129.1
106,0.28,0.24,0.65,1.4,0.6,1,220.2
54,0.74,0.42,1.2,2.81,0,1,171.27
117,2.1,2.3,0.73,5.04,0.3,5,801.81
21,0.33,0.13,0.41,3.4,0.6,3,385
35,0.29,0.16,0.56,2.7,0.6,1,311.47
32,0.6755,0.4,0.57,3.31,0,1,186.35
86,0.98,0.3692,1.05,2.2,0.3,1,487.12
33,0.6755,0.13,0.48,2.24,0.6,1,247.02
8,0.37,0.31,0.19,1.6,0,1,180.15
20,0.55,0.26,0.47,2.91,0,1,220.94
60,0.3,0.13,0.61,2.2,0.3,3,292.17
15,0.3,0.13,0.44,2.8,0.6,3,272.99
14,0.24,0.13,0.41,2.8,0,1,155.74
126,2.1,2.3,0.53,2.88,0.6,1,362.16
38,1.1,0.4,0.49,4.8,0.3,3,404.75
13,0.55,0.4,0.29,3.1,0,1,212.76
11,0.58,0.3692,0,2.5,0,1,231.35
14,0.55,0.36,1,2.7,0.3,4,329.97
71,0.46,0.13,0.58,3.59,0.6,1,332.82
33,0.28,0.13,0.49,2.83,0,1,144.44
11,0.37,0.3692,0,2.7,0,1,128.46
56,0.62,0.13,0.32,2.71,0,1,182.21
86,2.1,1.23,0.69,3.55,0,1,483.76
39,1.77,0.4,0.62,2.73,0,1,174.34
14,0.27,0.18,0.41,2.76,0.6,1,223.88
14,0.6755,0.13,0.44,3.1,0,1,180.17
166,2.02,1.29,0.65,2,0,1,419.69
10,0.37,0.16,0.34,2.2,0,1,187.06
9,0.37,0.26,0.31,3.1,0.6,1,192.39
33,0.25,0.13,0.57,2.8,0.6,1,275.94
64,0.27,0.13,0.79,2,0,1,142.46
8,0.24,0.12,0.2,1.62,0,1,93.68
10,0.37,0.19,0.39,1.9,0,1,166.07
14,0.55,0.17,0.41,2.79,0,1,166.07
8,0.26,0.21,0.24,1.7,0,1,183.49
19,0.6755,0.34,0.47,3.1,0,1,130.04
11,0.37,0.2,0.34,2.1,0,1,154.57
11,0.24,0.14,0.37,3.1,0,1,179.99
41,1.16,0.47,0.48,3.1,0.6,1,373.82
14,0.55,0.4,0.41,2.8,0.6,1,212.18
12,0.55,0.13,0.41,2.2,0.6,1,199.44
41,2.4,0.4,0.65,2.89,0,1,316.82
34,1.08,0.49,0.52,2.8,0.6,1,291.14
16,0.3,0.13,0.44,3.1,0,1,174.2
10,0.37,0.16,0.34,2.2,0,1,157.67
30,0.31,0.3,0.57,2.8,0.6,3,240.1
8,0.24,0.25,0.34,2.2,0,1,166.45
8,0.27,0.13,0.25,1.52,0,1,149.85
42,0.6,0.2,1.02,2.7,0,2,334.98
106,2.09,2.3,0.89,2.87,0.3,1,550.43
116,0.35,0.13,0.41,2.57,0,1,165.47
21,0.6,0.4,0,2.7,0.3,4,238.96
12,0.52,0.33,0.43,2.2,0,1,163.1
10,0.37,0.13,0.37,2,0,1,171.37
12,0.32,0.15,0.41,2.7,0.6,1,246.69
40,0.32,0.15,0.74,3.06,0.6,1,293.9
11,0.37,0.3692,0,2,0,1,148.41
10,0.37,0.3692,0,2.1,0.3,3,259.35
83,0.52,0.43,0.59,2.1,0,1,197.95
32,0.6,0.13,0.57,2.7,0.6,1,244.31
12,0.27,0.13,0.41,3.1,0,4,383.62
30,0.6755,0.49,0,2.7,0,5,358.92
22,0.55,0.4,0.36,3.1,0,1,272.63
15,0.6755,0.3692,0.29,3.37,0.6,1,184.59
11,0.32,0.16,0.34,2.6,0,1,179.27
68,1.47,0.2,0.47,2.34,0,1,265.19
10,0.18,0.13,0.34,2,0.6,1,252.89
42,0.27,0.13,0.2,3.03,0,1,166.64
42,0.25,0.12,0.61,2.07,0,1,199.46
35,0.33,0.13,0.64,3.9,0.6,1,188.31
126,1.64,0.3692,1.06,3.81,0.3,1,728.48
55,0.26,0.13,1.23,1.7,0,1,163.13
33,0.29,0.17,0.37,2,0,1,153.48
15,0.55,0.4,0.44,2.6,0.6,1,227.26
86,1.78,2.3,0.79,5.7,0.3,4,820.97
46,0.6,0.13,0.84,2.8,0.6,1,257.82
61,0.72,0.13,0.48,1.18,0,1,153.77
16,0.6755,0.4,0.44,3.1,0.6,1,321.76
52,0.6755,0.4,0.26,2.6,0,1,192.36
101,1.3,2.12,0.74,2.2,0.6,1,549.17
4,0.15,0.3692,0.14,1.2,0,1,74.92
16,0.28,0.13,0.41,2.8,0,1,178.11
18,0.49,0.4,0,2.8,0,1,206.36
13,0.55,0.3692,0,3.1,0,1,115.7
38,1.07,0.26,0.59,2.8,0.6,1,293.17
31,0.6,0.4,0,2.7,0.6,1,309.6
116,2.05,2.3,0.73,4.8,0.3,3,1284.08
39,0.6755,0.13,0.61,2.8,0.6,1,253.98
11,0.6755,0.25,0.31,1.9,0,4,247.66
66,1.38,0.24,0.5,2.29,0.6,1,241.05
35,0.43,0.13,0.48,2.2,0,1,170.64
30,0.6755,0.27,0.64,3.18,0,1,246.75
20,0.66,0.13,0,2.8,0.3,1,219.85
11,0.37,0.25,0.27,2.36,0.6,1,172.92
71,2.1,0.55,0.65,2.6,0,1,374.93
23,0.6,0.4,0.57,3.19,0.6,1,293.5
8,0.37,0.3692,0.17,3.1,0,4,212.77
9,0.37,0.17,0.34,2.2,0,1,161.4
76,1.99,1.4,0.97,3.42,0.6,1,534.21
53,0.64,0.59,0.67,2.86,0.6,1,241.23
23,0.32,0.13,0.57,3.38,0,1,219.03
39,2.1,0.26,0.84,2.8,0,1,423.57
126,2.1,0.13,0.61,4.38,0.6,1,370.15
9,0.31,0.17,0.17,1.42,0,1,106.68
37,1.1,0.4,0.48,2.8,0.6,1,242.35
10,0.37,0.25,0,2.5,0.3,4,201.57
34,0.31,0.38,0.55,2.2,0.6,1,285.35
12,0.55,0.36,0.41,2.2,0,1,181.72
7,0.19,0.12,0.16,1.51,0,1,114.13
0,0.21,0.13,0.15,1.34,0,3,56.62
3,0.2,0.11,0.22,1.3,0,1,77.52
19,0.5,0.37,0.34,2.8,0,1,152.83
46,1.66,0.25,0.52,2.54,0,1,209.46
16,0.57,0.4,0,3.1,0.6,1,257.81
10,0.6755,0.3692,0,1.8,0,1,119.97
81,2.2,0.13,0.84,2.86,0.6,3,737.97
96,2.01,2.3,0.94,4.8,0.3,1,994.84
19,0.55,0.35,0.47,3.59,0,1,323.06
51,1.14,0.5,0.73,3.46,0,1,194.41
17,0.29,0.15,0.41,2.8,0,1,175.43
43,2.4,0.8,0.73,3.1,0.6,1,427.11
47,0.27,0.21,0.56,2.71,0.6,1,204.03
47,0.93,0.31,0.73,2.87,0.6,1,385.98
11,0.37,0.26,0.34,2.2,0.6,1,196.78
96,0.3,0.19,0.37,1.06,0.6,3,193.06
66,0.6755,0.35,0.44,2.87,0.6,1,247.74
10,0.27,0.16,0.25,1.7,0,1,125.62
12,0.37,0.19,0.17,2.05,0.3,4,299.14
13,0.6755,0.36,0.44,2.6,0,3,211.96
20,0.55,0.4,0.42,2.8,0,1,264.67
31,0.6,0.4,0.48,2.79,0.6,1,318
43,0.28,0.13,0.61,2.8,0,1,144.09
19,0.6755,0.28,0,3.25,0,1,358.28
5,0.2,0.13,0.25,1.7,0,1,94.92
16,0.54,0.26,0.44,2.8,0.6,1,193.19
11,0.37,0.2,0.34,2.3,0,1,188.35
38,0.3,0.13,0.57,4.8,0.6,1,251.4
10,0.37,0.25,0.39,2.03,0,1,161.31
36,0.27,0.25,0.34,2.1,0.6,1,158.35
56,0.6755,0.15,0.36,1.18,0,1,126.28
15,0.55,0.36,0,2.42,0,1,138.34
18,0.55,0.19,0.29,2.8,0,1,149.2
9,0.37,0.25,0.34,2.2,0,1,188.55
36,2.1,2.3,0.61,4.8,0,1,564.1
61,0.29,0.13,0.18,2.4,0,1,144.51
46,1.49,1.1,0.65,4.8,0.6,3,504.49
16,0.55,0.31,0,2.74,0.3,4,279.23
11,0.35,0.3692,0.26,2.2,0,1,127.57
21,0.36,0.32,0.7,2.8,0.6,3,435.42
17,0.55,0.17,0.41,2.83,0.6,1,237.94
46,0.29,0.13,0.5,2,0.6,1,216.29
22,0.3,0.13,0.36,1.5,0,1,110.71
25,0.6755,0.49,0,3.1,0,1,153.23
12,0.29,0.13,0.44,2.2,0,1,178.98
18,0.55,0.26,0.44,2.82,0.6,1,274.92
8,0.6755,0.3692,0,1.9,0,1,125.93
116,1.67,1.58,0.52,4.04,0.6,2,399.92
61,1.91,0.32,0.72,5.17,0.6,1,416.78
16,0.31,0.17,0.54,2.86,0.6,3,269.07
34,0.39,0.13,0.48,3.57,0.6,1,291.92
57,0.6,0.13,0.98,1.8,0.6,1,281.51
36,0.56,0.21,0.48,2.32,0.6,1,217
17,0.55,0.26,0,2.87,0,4,179.33
11,0.55,0.2,0.34,2.07,0,1,186.65
33,0.6,0.13,0.64,1.7,0,1,146.39
9,0.33,0.3692,0.34,2.1,0,1,164.57
41,0.29,0.15,1.12,3.71,0.6,1,246.51
46,0.32,0.13,0.61,2.8,0,1,135.6
36,0.54,0.14,0.48,2.25,0.6,3,415.9
4,0.2,0.15,0.2,1.1,0,1,121.97
35,0.41,0.4,0.8,3.74,0,3,575.69
12,0.54,0.36,0.41,2.8,0.6,1,259.86
66,0.33,0.13,1,2.7,0,1,427.97
14,0.55,0.26,0,3.98,0,1,187.12
17,0.6755,0.16,0.41,3.1,0.6,1,187.25
36,0.29,0.13,0.57,2.8,0.6,1,181.83
76,0.86,0.36,0.41,2.8,0,1,257.75
12,0.38,0.2,0.36,2.6,0,1,147.62
126,0.6755,1.6,0.79,2.69,0.6,1,387.36
116,2.06,2.3,1.16,5.7,0,5,1525.85
91,0.6755,1.53,0.84,2.7,0.6,1,448.37
31,0.6,0.13,0.64,2.7,0,1,287.76
14,0.6755,0.13,0.41,3.28,0,1,148.89
12,0.52,0.3692,0.41,2,0,1,190.66
8,0.25,0.15,0.26,1.7,0,2,123.32
18,0.29,0.13,0.4,2.8,0.6,1,236.59
12,0.27,0.35,0.41,2.2,0.6,1,190.77
35,0.54,0.13,0.57,2.85,0.6,1,351.56
39,2.4,0.13,0.65,2.7,0.6,1,354.27
19,0.31,0.13,0.41,3.1,0.6,1,289.12
13,0.55,0.32,0.41,2.8,0.6,1,203.39
66,1.99,0.13,0.73,3.6,0.6,1,307.38
10,0.24,0.18,0.22,2.21,0,3,118.74
12,0.35,0.3692,0.17,2.12,0,1,153.86
39,0.33,0.18,0.46,2.8,0.6,1,221.9
19,0.55,0.4,0.36,2.7,0,1,209.53
81,1.64,1.82,0.6,3.47,0.6,1,402.32
0,0.14,0.11,0.17,1.5,0,1,62.57
21,0.55,0.26,0.41,4.8,0.6,1,223.27
12,0.55,0.26,0.41,2.8,0.6,1,187.72
39,0.6,0.13,0.73,2.7,0.6,1,229.11
33,0.6,0.4,0.57,2.71,0.6,1,289.53
0,0.15,0.13,0.14,0.79,0,1,64.95
14,0.6755,0.23,0.36,2.71,0,1,129.34
10,0.33,0.2,0,2.2,-0.1,1,143.06
86,0.19,0.13,0.13,1.06,0,2,92.6
11,0.37,0.13,0.34,2.2,0,1,176.16
116,0.67,0.2,0.5,2.7,0.6,1,213.07
48,1.93,0.39,0.54,3.27,0,1,268.5
113,1.88,1.2,0.91,3.1,0.6,1,443.75
16,0.55,0.26,0.36,2.8,0,1,190.31
36,0.27,0.13,0.64,2.8,0.6,1,245.89
40,0.37,0.21,0.84,2.92,0.6,1,254.45
26,0.6,0.4,0.48,2.2,0.6,1,196.29
15,0.55,0.3692,1,4.8,0.3,2,368.5
10,0.37,0.3692,0,2,0,1,104.54
9,0.6755,0.3692,0,2.1,0,1,90.44
16,0.82,0.26,0,3.3,0.6,1,210.7
10,0.37,0.26,0,1.4,0.3,1,207.41
45,0.27,0.26,0.61,2.75,0.6,1,188.09
76,2.14,0.65,0.8,3.18,0.6,1,463.14
11,0.37,0.3,0.34,2.75,0.6,1,198.91
11,0.37,0.21,0.34,2.1,0,1,186.36
10,0.25,0.17,0.22,1.9,0,1,127.34
36,0.27,0.13,0.7,2.87,0.6,3,283.59
